player_id	player_name	position	rank	team
917318	Oneil Cruz	OF	85	Pirates
1118776	Matt McLain	IF	86	Reds
873265	Will Smith	IF	87	Dodgers
943754	TJ Friedl	OF	88	Reds
1169634	Brenton Doyle	OF	89	Rockies
1053079	Alec Bohm	IF	90	Phillies
917949	Bo Bichette	IF	91	Blue Jays
657851	Byron Buxton	OF	92	Twins
1118137	Andy Pages	OF	93	Dodgers
1123331	Ezequiel Tovar	IF	94	Rockies
908695	Adolis Garcia	OF	95	Rangers
1452631	Luke Keaschall	IF	96	Twins
508176	Willson Contreras	IF	97	Cardinals
1054407	Brendan Donovan	IF	98	Cardinals
737507	J.P. Crawford	IF	99	Mariners
874181	Brandon Lowe	IF	100	Rays
1303601	Agustin Ramirez	IF	101	Marlins
1051903	Luis Robert Jr.	OF	102	White Sox
737539	Ryan McMahon	IF	103	Rockies
500736	Mike Trout	OF	104	Angels
1396122	Jackson Holliday	IF	105	Orioles
1118808	Xavier Edwards	IF	106	Marlins
875832	Jonathan India	IF	107	Royals
1452106	Nolan Schanuel	IF	108	Angels
920275	Isaac Paredes	IF	109	Astros
1053376	Yainer Diaz	IF	110	Astros
1115829	Kyle Stowers	OF	111	Marlins
1208127	Jordan Westburg	IF	112	Orioles
962605	Luis Garcia Jr.	IF	113	Nationals
1159930	Andrew Vaughn	IF	114	White Sox
1170084	Kerry Carpenter	OF	115	Tigers
857694	Jake Cronenworth	IF	116	Padres
503373	Max Muncy	IF	117	Dodgers
1054986	Jo Adell	OF	118	Angels
1057489	Otto Lopez	IF	119	Marlins
1118903	Lawrence Butler	OF	120	Athletics
500816	Nolan Arenado	IF	121	Cardinals
1310721	Sal Frelick	OF	122	Brewers
1316789	Colson Montgomery	IF	123	White Sox
1159671	Michael Busch	IF	124	Cubs
548087	Jorge Polanco	IF	125	Mariners
1169602	Anthony Volpe	IF	126	Yankees
1452073	Jacob Wilson	IF	127	Athletics
657850	Carlos Correa	IF	128	Twins
738659	Andrew Benintendi	OF	129	White Sox
1216901	Masyn Winn	IF	130	Cardinals
1177472	Hunter Goodman	IF	131	Rockies
1397116	Drake Baldwin	IF	132	Braves
1318620	Caleb Durbin	IF	133	Brewers
1157638	Noelvi Marte	IF	134	Reds
501577	Paul Goldschmidt	IF	135	Yankees
1176081	Alec Burleson	OF	136	Cardinals
829141	Ryan O'Hearn	IF	137	Orioles
1054992	Heliot Ramos	OF	138	Giants
876177	Trevor Larnach	OF	139	Twins
915698	Jake Burger	IF	140	Rangers
1318485	Ben Rice	IF	141	Yankees
1055059	Daulton Varsho	OF	142	Blue Jays
1209801	Jasson Dominguez	OF	143	Yankees
918713	Adley Rutschman	IF	144	Orioles
1452095	Matt Shaw	IF	145	Cubs
1054524	Lars Nootbaar	OF	146	Cardinals
1218036	Colt Keith	IF	147	Tigers
976572	Jung Hoo Lee	OF	148	Giants
390316	Giancarlo Stanton	OF	149	Yankees
597768	Josh Bell	IF	150	Nationals
874246	Trent Grisham	OF	151	Yankees
1396848	Cam Smith	IF	152	Astros
1452063	Dylan Crews	OF	153	Nationals
1216748	Tyler Soderstrom	IF	154	Athletics
1115496	Spencer Horwitz	IF	155	Pirates
1115784	Josh Jung	IF	156	Rangers
917114	Andres Gimenez	IF	157	Blue Jays
873639	Cedric Mullins	OF	158	Orioles
1061668	Wilyer Abreu	OF	159	Red Sox
1118908	Addison Barger	IF	160	Blue Jays
919293	Jonathan Aranda	IF	161	Rays
1316813	Connor Norby	IF	162	Marlins
917933	Gavin Lux	IF	163	Reds
874242	Tyler Stephenson	IF	164	Reds
1216739	Pete Crow-Armstrong	OF	165	Cubs
917926	Josh Lowe	OF	166	Rays
829185	Ramon Laureano	OF	167	Orioles
658226	Jorge Soler	OF	168	Angels
1055052	Mark Vientos	IF	169	Mets
548255	J.T. Realmuto	IF	170	Phillies
327986	Tommy Pham	OF	171	Pirates
874730	Ke'Bryan Hayes	IF	172	Pirates
917944	Brandon Marsh	OF	173	Phillies
659463	Anthony Santander	OF	174	Blue Jays
1118303	Ceddanne Rafaela	OF	175	Red Sox
1054963	Royce Lewis	IF	176	Twins
1055775	Tarik Skubal	P	177	Tigers
1118818	Ryan Jeffers	IF	178	Twins
1055204	Jose Caballero	IF	179	Rays
709024	Jeff McNeil	IF	180	Mets
1071614	Alejandro Kirk	IF	181	Blue Jays
918920	Zach McKinstry	IF	182	Tigers
1169963	Jordan Beck	OF	183	Rockies
1052845	Jared Triolo	IF	184	Pirates
826671	Luis Rengifo	IF	185	Angels
1053498	Gabriel Moreno	IF	186	Diamondbacks
1310697	Colton Cowser	OF	187	Orioles
1053621	Ivan Herrera	IF	188	Cardinals
829797	Gavin Sheets	IF	189	Padres
1120047	Austin Wells	IF	190	Yankees
872787	Jesus Sanchez	OF	191	Marlins
1452064	Paul Skenes	P	192	Pirates
503161	Mike Yastrzemski	OF	193	Giants
1054419	Jake Mangum	OF	194	Rays
918808	Matt Wallner	OF	195	Twins
1119679	Logan O'Hoppe	IF	196	Angels
1316947	Kyle Manzardo	IF	197	Guardians
1056039	Garrett Crochet	P	198	Red Sox
873704	Tommy Edman	IF	199	Dodgers
1118811	Parker Meadows	OF	200	Tigers
908697	Lourdes Gurriel Jr.	OF	201	Diamondbacks
597757	Javier Baez	IF	202	Tigers
915732	Ernie Clement	IF	203	Blue Jays
1057236	Lenyn Sosa	IF	204	White Sox
874734	Ryan Mountcastle	IF	205	Orioles
737633	Tyler O'Neill	OF	206	Orioles
875378	Jake McCarthy	OF	207	Diamondbacks
1118539	Triston Casas	IF	208	Red Sox
1170932	Brooks Lee	IF	209	Twins
1157240	Francisco Alvarez	IF	210	Mets
1053764	Wenceel Perez	OF	211	Tigers
1452098	Bryce Eldridge	IF	212	Giants
1216745	Dillon Dingler	IF	213	Tigers
874219	Austin Hays	OF	214	Reds
392121	Chris Sale	P	215	Braves
1389094	Samuel Basallo	IF	216	Orioles
1119325	Blaze Alexander	IF	217	Diamondbacks
1316876	Jac Caglianone	IF	218	Royals
917920	Mickey Moniak	OF	219	Angels
828873	Logan Webb	P	220	Giants
659185	Miguel Andujar	OF	221	Athletics
969448	Yoshinobu Yamamoto	P	222	Dodgers
1118787	Bo Naylor	IF	223	Guardians
1056107	Patrick Bailey	IF	224	Giants
1054563	Logan Gilbert	P	225	Mariners
737343	Freddy Peralta	P	226	Brewers
737843	Jonah Heim	IF	227	Rangers
918999	Josh Smith	IF	228	Rangers
864590	Yoan Moncada	IF	229	Angels
657963	Carson Kelly	IF	230	Cubs
1452080	Kyle Teel	IF	231	White Sox
1379933	Moises Ballesteros	IF	232	Cubs
1316801	Carson Williams	IF	233	Rays
737889	Nick Pivetta	P	234	Padres
455617	Wilmer Flores	IF	235	Giants
1159686	Hunter Brown	P	236	Astros
918173	Freddy Fermin	IF	237	Royals
1169583	Brett Baty	IF	238	Mets
1216873	Jordan Walker	OF	239	Cardinals
1396685	Sal Stewart	IF	240	Reds
1169623	Joey Ortiz	IF	241	Brewers
548347	Kevin Gausman	P	242	Blue Jays
873680	Sean Murphy	IF	243	Braves
872528	Keibert Ruiz	IF	244	Nationals
873146	Framber Valdez	P	245	Astros
1217874	Evan Carter	OF	246	Rangers
828749	Cristopher Sanchez	P	247	Phillies
709038	Michael Conforto	OF	248	Dodgers
455516	Sonny Gray	P	249	Cardinals
829595	Pavin Smith	IF	250	Diamondbacks
1072529	Gabriel Arias	IF	251	Guardians
1054964	Hunter Greene	P	252	Reds
657860	Max Fried	P	253	Yankees
1310130	Marcelo Mayer	IF	254	Red Sox
455169	Nathan Eovaldi	P	255	Rangers
500722	Zack Wheeler	P	256	Phillies
829000	Dylan Cease	P	257	Padres
597786	Blake Snell	P	258	Dodgers
1303804	Edgar Quero	IF	259	White Sox
1115890	Dominic Canzone	OF	260	Mariners
1159873	Ryan Pepiot	P	261	Rays
1318219	Bryan Woo	P	262	Mariners
829793	Joe Ryan	P	263	Twins
918870	George Kirby	P	264	Mariners
657487	Luis Castillo	P	265	Mariners
828409	Victor Robles	OF	266	Mariners
1119472	Romy Gonzalez	IF	267	Red Sox
1175983	Tanner Bibee	P	268	Guardians
1115760	Pedro Pages	IF	269	Cardinals
454957	Kyle Higashioka	IF	270	Rangers
916966	Carlos Narvaez	IF	271	Red Sox
873698	Shane Bieber	P	272	Guardians
598294	Chris Bassitt	P	273	Blue Jays
1176505	Henry Davis	IF	274	Pirates
548447	Jacob deGrom	P	275	Rangers
1217282	Coby Mayo	IF	276	Orioles
736473	Pablo Lopez	P	277	Twins
857550	Zac Gallen	P	278	Diamondbacks
917938	Cole Ragans	P	279	Royals
828681	Jack Flaherty	P	280	Tigers
1318242	Noah Cameron	P	281	Royals
597835	Tyler Glasnow	P	282	Dodgers
916702	Jose Soriano	P	283	Angels
828700	Mitch Keller	P	284	Pirates
1056077	Spencer Strider	P	285	Braves
542012	Yusei Kikuchi	P	286	Angels
915708	Dane Myers	OF	287	Marlins
907357	Shota Imanaga	P	288	Cubs
1054965	MacKenzie Gore	P	289	Nationals
1053080	Kyle Bradish	P	290	Orioles
1056094	Andrew Abbott	P	291	Reds
1115772	Isaac Collins	OF	292	Brewers
1119983	Spencer Schwellenbach	P	293	Braves
594254	Kodai Senga	P	294	Mets
876019	Jeffrey Springs	P	295	Athletics
875827	Shane McClanahan	P	296	Rays
599698	Seth Lugo	P	297	Royals
1310281	Jordan Lawlar	IF	298	Diamondbacks
874794	Brady Singer	P	299	Reds
1054987	Shane Baz	P	300	Rays
598167	Clay Holmes	P	301	Mets
621625	Michael Wacha	P	302	Royals
1284641	Eury Perez	P	303	Marlins
874220	Michael King	P	304	Padres
917981	Jesus Luzardo	P	305	Phillies
657908	Lucas Giolito	P	306	Red Sox
875215	Nathan Lukes	OF	307	Blue Jays
917947	Nick Lodolo	P	308	Reds
659551	Ranger Suarez	P	309	Phillies
1054988	Trevor Rogers	P	310	Orioles
918555	Bailey Ober	P	311	Twins
1318239	Emmet Sheehan	P	312	Dodgers
552177	Merrill Kelly	P	313	Diamondbacks
1118133	Brayan Bello	P	314	Red Sox
920423	Edward Cabrera	P	315	Marlins
1316948	Carter Jensen	IF	316	Royals
1217479	Jacob Misiorowski	P	317	Brewers
829799	Drew Rasmussen	P	318	Rays
597766	Joe Musgrove	P	319	Padres
876350	Dean Kremer	P	320	Orioles
1322830	Shane Smith	P	321	White Sox
829749	Riley Adams	IF	322	Nationals
599230	Aaron Nola	P	323	Phillies
1316791	Michael McGreevy	P	324	Cardinals
657852	Jose Berrios	P	325	Blue Jays
828383	Sandy Alcantara	P	326	Marlins
1316755	Chad Patrick	P	327	Brewers
597893	Brandon Woodruff	P	328	Brewers
1055792	Gavin Williams	P	329	Guardians
1055285	JP Sears	P	330	Athletics
599574	Nick Martinez	P	331	Reds
1217005	Cade Horton	P	332	Cubs
621603	Matthew Boyd	P	333	Cubs
1316748	Logan Henderson	P	334	Brewers
549085	Robbie Ray	P	335	Giants
1519320	Trey Yesavage	P	336	Blue Jays
1118873	Nick Fortes	IF	337	Marlins
548151	Jameson Taillon	P	338	Cubs
737929	Zack Littell	P	339	Rays
578060	Colin Rea	P	340	Cubs
1175954	Brandon Pfaadt	P	341	Diamondbacks
1054444	Kris Bubic	P	342	Royals
829588	David Peterson	P	343	Mets
1055867	Reid Detmers	P	344	Angels
1116218	Ryne Nelson	P	345	Diamondbacks
877821	Luis Gil	P	346	Yankees
1120065	Bryce Miller	P	347	Mariners
1316942	Sean Burke	P	348	White Sox
1118528	Casey Mize	P	349	Tigers
1053480	Jose Butto	P	350	Mets
1170293	Jack Leiter	P	351	Rangers
738156	Eric Lauer	P	352	Blue Jays
657781	Luis Severino	P	353	Athletics
277705	Justin Verlander	P	354	Giants
1169596	Quinn Priester	P	355	Red Sox
598286	Carlos Rodon	P	356	Yankees
876247	Jake Irvin	P	357	Nationals
1177839	Landen Roupp	P	358	Giants
709610	Sean Manaea	P	359	Mets
1055386	Joey Cantillo	P	360	Guardians
1177851	Ian Seymour	P	361	Rays
1318261	Will Warren	P	362	Yankees
578009	Tyler Anderson	P	363	Angels
1055773	Cade Cavalli	P	364	Nationals
505541	Jose Quintana	P	365	Brewers
1055697	Aaron Ashby	P	366	Brewers
1118529	Matthew Liberatore	P	367	Cardinals
1119790	Jacob Lopez	P	368	Athletics
1118760	Grayson Rodriguez	P	369	Orioles
454389	Gerrit Cole	P	370	Yankees
548722	Eduardo Rodriguez	P	371	Diamondbacks
1311161	Bubba Chandler	P	372	Pirates
1055420	Logan Allen	P	373	Guardians
1119373	Reese Olson	P	374	Tigers
921576	Edwin Uceta	P	375	Rays
828960	Justin Steele	P	376	Cubs
1052952	Andre Pallante	P	377	Cardinals
1217250	Jared Jones	P	378	Pirates
577809	Kyle Hendricks	P	379	Angels
828669	Grant Holmes	P	380	Braves
1119294	Mike Burrows	P	381	Pirates
1159673	Hunter Gaddis	P	382	Guardians
500846	Patrick Corbin	P	383	Nationals
599746	Kyle Freeland	P	384	Rockies
915705	Davis Martin	P	385	White Sox
1118536	Ryan Weathers	P	386	Marlins
1316805	Chase Burns	P	387	Reds
1452070	Chase Dollander	P	388	Rockies
1122217	Randy Vasquez	P	389	Padres
1177714	Bryce Elder	P	390	Braves
922365	Johan Oviedo	P	391	Pirates
1316890	Mason Miller	P	392	Athletics
874816	Cristian Javier	P	393	Astros
915701	Tyler Holton	P	394	Tigers
1120061	Slade Cecconi	P	395	Guardians
599293	Erick Fedde	P	396	Cardinals
1055378	Cade Smith	P	397	Guardians
828588	Bryan Abreu	P	398	Astros
657858	Lance McCullers Jr.	P	399	Astros
658557	Matt Strahm	P	400	Phillies
326473	Max Scherzer	P	401	Blue Jays
657938	Edwin Diaz	P	402	Mets
1118895	Taj Bradley	P	403	Rays
548165	Taijuan Walker	P	404	Phillies
1056014	Ben Brown	P	405	Cubs
523977	Aroldis Chapman	P	406	Red Sox
737914	Tyler Mahle	P	407	Rangers
738570	Griffin Jax	P	408	Twins
1119869	Ryan Walker	P	409	Giants
1318255	Hunter Dobbins	P	410	Red Sox
599729	Luke Weaver	P	411	Yankees
709602	Jeff Hoffman	P	412	Blue Jays
1053878	Keider Montero	P	413	Tigers
917946	Joey Wentz	P	414	Pirates
1118813	Simeon Woods Richardson	P	415	Twins
1397708	Zebby Matthews	P	416	Twins
1052969	Garrett Whitlock	P	417	Red Sox
873347	Jhoan Duran	P	418	Twins
830702	Raisel Iglesias	P	419	Braves
1118631	Ronny Henriquez	P	420	Marlins
829008	Jacob Latz	P	421	Rangers
598951	Shawn Armstrong	P	422	Rangers
919548	Andres Munoz	P	423	Mariners
1119454	Alex Vesia	P	424	Dodgers
918346	Tyler Wells	P	425	Orioles
916835	Camilo Doval	P	426	Giants
739036	Tyler Rogers	P	427	Giants
1120214	Kumar Rocker	P	428	Rangers
1055308	Will Vest	P	429	Tigers
915715	David Bednar	P	430	Pirates
389855	Fernando Cruz	P	431	Yankees
1318259	Colton Gordon	P	432	Astros
658473	Josh Hader	P	433	Astros
969093	Adrian Morejon	P	434	Padres
1452097	Hurston Waldrep	P	435	Braves
1169990	Louie Varland	P	436	Twins
874781	Tony Santillan	P	437	Reds
873673	Corbin Burnes	P	438	Diamondbacks
1213511	Roki Sasaki	P	439	Dodgers
829027	Tanner Scott	P	440	Dodgers
598491	Carlos Estevez	P	441	Royals
1115888	Matt Brash	P	442	Mariners
737885	Emilio Pagan	P	443	Reds
827454	Pete Fairbanks	P	444	Rays
501771	Pierce Johnson	P	445	Braves
869798	Robert Suarez	P	446	Padres
1157892	Yariel Rodriguez	P	447	Blue Jays
875316	Cole Sands	P	448	Twins
657573	Seranthony Dominguez	P	449	Orioles
737560	Devin Williams	P	450	Yankees
874172	Ryan Helsley	P	451	Cardinals
1055238	Calvin Faucher	P	452	Marlins
708446	Kyle Finnegan	P	453	Nationals
577676	Andrew Kittredge	P	454	Orioles
917955	JoJo Romero	P	455	Cardinals
915840	Robert Garcia	P	456	Rangers
918185	Dylan Lee	P	457	Braves
1118788	J.T. Ginn	P	458	Athletics
1055199	Jeremiah Estrada	P	459	Padres
919291	Elvis Alvarado	P	460	Athletics
908679	Yennier Cano	P	461	Orioles
1119425	Kody Funderburk	P	462	Twins
295200	Kenley Jansen	P	463	Angels
737018	Dennis Santana	P	464	Pirates
1397530	Orion Kerkering	P	465	Phillies
918274	Graham Ashcraft	P	466	Reds
872722	Lucas Erceg	P	467	Royals
827423	Garrett Cleavinger	P	468	Rays
1118858	Hogan Harris	P	469	Athletics
1123161	Abner Uribe	P	470	Brewers
1289743	Daniel Palencia	P	471	Cubs
1318574	David Festa	P	472	Twins
656049	Jose Alvarado	P	473	Phillies
738213	Gabe Speier	P	474	Mariners
737865	Brad Keller	P	475	Cubs
1055210	Riley O'Brien	P	476	Cardinals
828803	Trevor Megill	P	477	Brewers
1119394	Victor Vodnik	P	478	Rockies
1119283	Jose A. Ferrer	P	479	Nationals
390190	Ryan Pressly	P	480	Cubs
1318627	Jordan Leasure	P	481	White Sox
659284	A.J. Minter	P	482	Mets
658926	Justin Topa	P	483	Twins
1169611	Justin Slaten	P	484	Red Sox
1318220	Spencer Arrighetti	P	485	Astros
1119988	Seth Halvorsen	P	486	Rockies
829037	Tanner Houck	P	487	Red Sox
